Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
32,800	-0,024	-4,973
32,850	-0,024	-5,023
32,900	-0,024	-5,058
32,950	-0,025	-5,082
33,000	-0,024	-5,087
33,050	-0,024	-5,087
33,100	-0,024	-5,087
33,150	-0,024	-5,086
33,200	-0,024	-5,087
33,250	-0,024	-5,087
33,300	-0,024	-5,087
33,350	-0,024	-5,086
33,400	-0,024	-5,087
33,450	-0,024	-5,086
33,500	-0,024	-5,087
33,550	-0,025	-5,106
33,600	-0,024	-5,186
33,650	-0,025	-5,250
33,700	-0,024	-5,291
33,750	-0,025	-5,338
33,800	-0,024	-5,385
33,850	-0,025	-5,438
33,900	-0,024	-5,501
33,950	-0,025	-5,545
34,000	-0,024	-5,562
34,050	-0,025	-5,581
34,100	-0,025	-5,599
34,150	-0,025	-5,635
34,200	-0,024	-5,691
34,250	-0,025	-5,690
34,300	-0,025	-5,739
34,350	-0,026	-5,790
34,400	-0,025	-5,836
34,450	-0,026	-5,909
34,500	-0,025	-5,961
34,550	-0,026	-5,980
34,600	-0,025	-6,009
34,650	-0,026	-6,050
34,700	-0,025	-6,081
34,750	-0,026	-6,110
34,800	-0,025	-6,160
34,850	-0,026	-6,208
34,900	-0,025	-6,237
34,950	-0,027	-6,279
35,000	-0,026	-6,321
35,050	-0,027	-6,370
35,100	-0,026	-6,428
35,150	-0,027	-6,467
35,200	-0,026	-6,481
35,250	-0,027	-6,485
35,300	-0,026	-6,485
35,350	-0,027	-6,492
35,400	-0,026	-6,503
35,450	-0,027	-6,506
35,500	-0,026	-6,506
35,550	-0,027	-6,505
35,600	-0,026	-6,506
35,650	-0,027	-6,510
35,700	-0,026	-6,511
35,750	-0,027	-6,511
35,800	-0,026	-6,562
35,850	-0,027	-6,634
35,900	-0,026	-6,689
35,950	-0,027	-6,719
36,000	-0,026	-6,732
36,050	-0,027	-6,739
36,100	-0,026	-6,742
36,150	-0,027	-6,744
36,200	-0,027	-6,745
36,250	-0,027	-6,746
36,300	-0,027	-6,746
36,350	-0,027	-6,747
36,400	-0,027	-6,747
36,450	-0,027	-6,747
36,500	-0,027	-6,747
36,550	-0,027	-6,747
36,600	-0,027	-6,747
36,650	-0,028	-6,747
36,700	-0,027	-6,747
36,750	-0,027	-6,748
36,800	-0,027	-6,747
36,850	-0,028	-6,748
36,900	-0,026	-6,747
36,950	-0,028	-6,748
37,000	-0,026	-6,747
37,050	-0,028	-6,748
37,100	-0,027	-6,748
37,150	-0,027	-6,748
37,200	-0,027	-6,748
37,250	-0,028	-6,748
37,300	-0,026	-6,748
37,350	-0,027	-6,748
37,400	-0,026	-6,748
37,450	-0,028	-6,749
37,500	-0,027	-6,748
37,550	-0,027	-6,748
37,600	-0,027	-6,748
37,650	-0,028	-6,749
37,700	-0,027	-6,748
37,750	-0,028	-6,749
37,800	-0,027	-6,748
37,850	-0,028	-6,749
37,900	-0,027	-6,748
37,950	-0,028	-6,749
38,000	-0,027	-6,748
38,050	-0,028	-6,747
38,100	-0,027	-6,667
38,150	-0,028	-6,566
38,200	-0,026	-6,506
38,250	-0,027	-6,497
38,300	-0,026	-6,497
38,350	-0,027	-6,497
38,400	-0,026	-6,498
38,450	-0,028	-6,498
38,500	-0,026	-6,498
38,550	-0,027	-6,498
38,600	-0,026	-6,472
38,650	-0,027	-6,393
38,700	-0,026	-6,310
38,750	-0,027	-6,266
38,800	-0,026	-6,216
38,850	-0,027	-6,163
38,900	-0,026	-6,124
38,950	-0,027	-6,080
39,000	-0,026	-6,045
39,050	-0,027	-6,014
39,100	-0,026	-5,991
39,150	-0,027	-5,963
39,200	-0,026	-5,914
39,250	-0,027	-5,854
39,300	-0,026	-5,790
39,350	-0,027	-5,732
39,400	-0,025	-5,676
39,450	-0,026	-5,635
39,500	-0,025	-5,602
39,550	-0,027	-5,598
39,600	-0,025	-5,598
39,650	-0,026	-5,598
39,700	-0,025	-5,598
39,750	-0,026	-5,598
39,800	-0,025	-5,598
39,850	-0,027	-5,578
39,900	-0,025	-5,537
39,950	-0,026	-5,503
40,000	-0,025	-5,463
40,050	-0,026	-5,430
40,100	-0,025	-5,361
40,150	-0,026	-5,325
40,200	-0,025	-5,256
40,250	-0,026	-5,193
40,300	-0,025	-5,156
40,350	-0,026	-5,121
40,400	-0,025	-5,102
40,450	-0,026	-5,086
40,500	-0,025	-5,056
40,550	-0,026	-5,015
40,600	-0,024	-4,988
40,650	-0,026	-4,952
40,700	-0,025	-4,926
40,750	-0,026	-4,901
40,800	-0,024	-4,886
40,850	-0,026	-4,847
40,900	-0,025	-4,812
40,950	-0,026	-4,779
41,000	-0,024	-4,750
41,050	-0,026	-4,710
41,100	-0,024	-4,672
41,150	-0,026	-4,626
41,200	-0,024	-4,584
41,250	-0,025	-4,532
41,300	-0,024	-4,492
41,350	-0,025	-4,451
41,400	-0,024	-4,422
41,450	-0,025	-4,399
41,500	-0,024	-4,378
41,550	-0,025	-4,350
41,600	-0,024	-4,335
41,650	-0,025	-4,320
41,700	-0,024	-4,289
41,750	-0,025	-4,275
41,800	-0,024	-4,248
41,850	-0,025	-4,213
41,900	-0,024	-4,184
41,950	-0,025	-4,153
42,000	-0,024	-4,127
42,050	-0,025	-4,097
42,100	-0,024	-4,073
42,150	-0,025	-4,068
42,200	-0,024	-4,068
42,250	-0,025	-4,068
42,300	-0,024	-4,068
42,350	-0,025	-4,069
42,400	-0,024	-4,071
42,450	-0,025	-4,071
42,500	-0,024	-4,070
42,550	-0,025	-4,029
42,600	-0,024	-3,974
42,650	-0,025	-3,905
42,700	-0,024	-3,836
42,750	-0,024	-3,804
42,800	-0,023	-3,746
42,850	-0,025	-3,700
42,900	-0,023	-3,659
42,950	-0,024	-3,618
43,000	-0,023	-3,590
43,050	-0,024	-3,546
43,100	-0,023	-3,505
43,150	-0,024	-3,458
43,200	-0,023	-3,410
43,250	-0,024	-3,361
43,300	-0,023	-3,331
43,350	-0,024	-3,301
43,400	-0,023	-3,276
43,450	-0,024	-3,249
43,500	-0,022	-3,213
43,550	-0,024	-3,176
43,600	-0,022	-3,145
43,650	-0,024	-3,109
43,700	-0,022	-3,077
43,750	-0,024	-3,045
43,800	-0,022	-2,998
43,850	-0,023	-2,955
43,900	-0,023	-2,916
43,950	-0,024	-2,891
44,000	-0,022	-2,889
44,050	-0,023	-2,887
44,100	-0,022	-2,887
44,150	-0,024	-2,886
44,200	-0,022	-2,886
44,250	-0,024	-2,886
44,300	-0,023	-2,886
44,350	-0,024	-2,856
44,400	-0,022	-2,765
